#chr_id	chr_start	chr_end	ctg_id	ctgs_pos(chr)	ctgs_pos(ctg)	ctgs_strand	mod_tgs_pos(ctg)
chr4_1_4500000	12883	545454	ptg003010l_2,ptg003010l_1,ptg003764l_1	12883-20010,19034-68810,22478-545454	92254-85120,79816-30132,516982-1	-,-,-	85120-92254,30132-78839,1-470649
chr4_1_4500000	561860	566647	ptg006636l_1	561860-566647	1-4790	+	1-4790
chr4_1_4500000	566756	588804	ptg006636l_2	566756-588804	8147-30165	+	8147-30165
chr4_1_4500000	588846	669089	ptg006636l_3	588846-669089	30207-110784	+	30207-110784
chr4_1_4500000	669165	747032	ptg006636l_4	669165-747032	110862-188330	+	110862-188330
chr4_1_4500000	754954	826317	ptg007637l_1	754954-826317	1-71033	+	1-71033
chr4_1_4500000	826376	921731	ptg007637l_2	826376-921731	71037-166231	+	71037-166231
chr4_1_4500000	925157	979547	ptg004123l_1	925157-979547	1-54353	+	1-54353
chr4_1_4500000	979691	1031822	ptg005577l_1	979691-1031822	27-52225	+	27-52225
chr4_1_4500000	1032858	1046298	ptg001967l_1	1032858-1046298	15-13451	+	15-13451
chr4_1_4500000	1046309	1272657	ptg001967l_2	1046309-1272657	14054-241240	+	14054-241240
chr4_1_4500000	1272829	1295638	ptg001967l_3	1272829-1295638	241366-264208	+	241366-264208
chr4_1_4500000	1295721	1372755	ptg001967l_4	1295721-1372755	264439-341283	+	264439-341283
chr4_1_4500000	1372841	1429358	ptg001967l_5	1372841-1429358	341321-397768	+	341321-397768
chr4_1_4500000	1434243	1435744	ptg001967l_11,ptg001967l_6,ptg001967l_8,ptg001967l_10,ptg001967l_7,ptg001967l_9,ptg001967l_12	1434243-1434910,1434276-1434956,1434324-1434937,1434839-1435371,1434999-1435742,1435032-1435702,1435209-1435744	406059-406726,398228-398908,402048-402661,404678-405210,400745-401488,403859-404529,407623-408158	+,+,+,+,+,+,+	406059-406726,398863-398908,402681-402661,404777-405210,401118-401488,404570-404529,408117-408158
chr4_1_4500000	1441610	1458075	ptg001967l_13	1441610-1458075	408274-424799	+	408274-424799
chr4_1_4500000	1458112	1509035	ptg001967l_14	1458112-1509035	424800-476246	+	424800-476246
chr4_1_4500000	1523323	1591371	ptg007549l_1	1523323-1591371	67388-1	-	1-67388
chr4_1_4500000	1591780	1713367	ptg006907l_1	1591780-1713367	122304-1	-	1-122304
chr4_1_4500000	1715227	1779203	ptg006461l_1	1715227-1779203	64820-1	-	1-64820
chr4_1_4500000	1788285	2164474	ptg001022l_1	1788285-2164474	1-376277	+	1-376277
chr4_1_4500000	2167395	2299402	ptg004714l_1	2167395-2299402	132072-1	-	1-132072
chr4_1_4500000	2307456	2418560	ptg001817l_1	2307456-2418560	1-110854	+	1-110854
chr4_1_4500000	2443022	2520863	ptg002700l_1	2443022-2520863	1-77919	+	1-77919
chr4_1_4500000	2525001	2925544	ptg005209l_1	2525001-2925544	1-400149	+	1-400149
chr4_1_4500000	2929486	3275331	ptg006052l_1,ptg004629l_1	2929486-3126723,3106351-3275331	1-197564,1-168955	+,+	1-197564,20374-168955
chr4_1_4500000	3296825	3343941	ptg002911l_1	3296825-3343941	1-47457	+	1-47457
chr4_1_4500000	3344415	3440103	ptg002911l_2	3344415-3440103	47931-143456	+	47931-143456
chr4_1_4500000	3440297	3509878	ptg002911l_3	3440297-3509878	143648-213198	+	143648-213198
chr4_1_4500000	3511988	3719523	ptg003696l_1,ptg003696l_2	3511988-3538600,3538569-3719523	1-26603,26604-206642	+,+	1-26603,26636-206642
chr4_1_4500000	3726233	3995735	ptg001518l_1	3726233-3995735	206-270494	+	206-270494
